gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,curcdq,datacqtr,datafqtr,acoq,actq,apq,aqepsq,chq,citotalq,cogsq,dlttq,gdwlamq,intanq,niq,cik,costat
1690,20100331,2010,2,INDL,C,D,STD,AAPL,37833100,USD,2010Q1,2010Q2,3914,32336,5666,,10018,3088,7658,0,,823,3074,320193,A
1690,20100630,2010,3,INDL,C,D,STD,AAPL,37833100,USD,2010Q2,2010Q3,4404,36033,8469,,9705,3236,9291,0,,1032,3253,320193,A
1690,20100930,2010,4,INDL,C,D,STD,AAPL,37833100,USD,2010Q3,2010Q4,5083,41678,12015,,11261,4154,12502,0,,1083,4308,320193,A
1690,20101231,2011,1,INDL,C,D,STD,AAPL,37833100,USD,2010Q4,2011Q1,5191,43927,14301,,10734,6164,16087,0,,1263,6004,320193,A
1690,20110331,2011,2,INDL,C,D,STD,AAPL,37833100,USD,2011Q1,2011Q2,5738,46997,13714,,15978,5999,14015,0,,1248,5987,320193,A
1690,20110630,2011,3,INDL,C,D,STD,AAPL,37833100,USD,2011Q2,2011Q3,6143,46898,15270,,12091,7571,16168,0,,1910,7308,320193,A
1690,20110930,2011,4,INDL,C,D,STD,AAPL,37833100,USD,2011Q3,2011Q4,6543,44988,14632,,9815,6677,16347,0,,4432,6623,320193,A
1690,20111231,2012,1,INDL,C,D,STD,AAPL,37833100,USD,2011Q4,2012Q1,6895,54771,18221,,10310,13005,24909,0,,4368,13064,320193,A
1690,20120331,2012,2,INDL,C,D,STD,AAPL,37833100,USD,2012Q1,2012Q2,7303,50712,17011,,10121,11762,19882,0,,4745,11622,320193,A
1690,20120630,2012,3,INDL,C,D,STD,AAPL,37833100,USD,2012Q2,2012Q3,8869,51943,16808,,7945,8832,19194,0,,5461,8824,320193,A
1690,20120930,2012,4,INDL,C,D,STD,AAPL,37833100,USD,2012Q3,2012Q4,9041,57653,21175,,10746,8190,20584,0,,5359,8223,320193,A
1690,20121231,2013,1,INDL,C,D,STD,AAPL,37833100,USD,2012Q4,2013Q1,9539,72348,26398,,16154,13191,31864,0,,5843,13078,320193,A
1690,20130331,2013,2,INDL,C,D,STD,AAPL,37833100,USD,2013Q1,2013Q2,9619,63337,14912,,12053,9899,25562,0,,5536,9547,320193,A
1690,20130630,2013,3,INDL,C,D,STD,AAPL,37833100,USD,2013Q2,2013Q3,10463,68219,15516,,11248,5702,20605,16958,,5875,6900,320193,A
1690,20130930,2013,4,INDL,C,D,STD,AAPL,37833100,USD,2013Q3,2013Q4,10335,73286,22367,,14259,7275,21818,16960,,5756,7512,320193,A
1690,20131231,2014,1,INDL,C,D,STD,AAPL,37833100,USD,2013Q4,2014Q1,12316,80347,29588,,14077,13237,33604,16961,,6127,13072,320193,A
1690,20140331,2014,2,INDL,C,D,STD,AAPL,37833100,USD,2014Q1,2014Q2,11542,70541,18914,,18949,10278,25812,16962,,5983,10223,320193,A
1690,20140630,2014,3,INDL,C,D,STD,AAPL,37833100,USD,2014Q2,2014Q3,11709,67949,20535,,12977,8085,20751,29030,,6141,7748,320193,A
1690,20140930,2014,4,INDL,C,D,STD,AAPL,37833100,USD,2014Q3,2014Q4,14124,68531,30196,,13844,9463,24145,28987,,8758,8467,320193,A
1690,20141231,2015,1,INDL,C,D,STD,AAPL,37833100,USD,2014Q4,2015Q1,18681,83403,38001,,19478,18905,42283,32504,,8999,18024,320193,A
1690,20150331,2015,2,INDL,C,D,STD,AAPL,37833100,USD,2015Q1,2015Q2,14235,67891,23159,,14489,14316,31875,40072,,8772,13569,320193,A
1690,20150630,2015,3,INDL,C,D,STD,AAPL,37833100,USD,2015Q2,2015Q3,14301,70953,26474,,15319,9065,26840,47419,,8823,10677,320193,A
1690,20150930,2015,4,INDL,C,D,STD,AAPL,37833100,USD,2015Q3,2015Q4,15085,89378,35490,,21120,9681,27834,53463,,9009,11124,320193,A
1690,20151231,2016,1,INDL,C,D,STD,AAPL,37833100,USD,2015Q4,2016Q1,11073,76219,33312,,16689,17226,42495,53204,,9126,18361,320193,A
1690,20160331,2016,2,INDL,C,D,STD,AAPL,37833100,USD,2016Q1,2016Q2,10204,87592,25098,,21514,10948,28159,69374,,9092,10516,320193,A
1690,20160630,2016,3,INDL,C,D,STD,AAPL,37833100,USD,2016Q2,2016Q3,11132,93761,26318,,18237,8737,23726,68939,,8767,7796,320193,A
1690,20160930,2016,4,INDL,C,D,STD,AAPL,37833100,USD,2016Q3,2016Q4,8283,106869,37294,,20484,9755,26491,75427,,8620,9014,320193,A
1690,20161231,2017,1,INDL,C,D,STD,AAPL,37833100,USD,2016Q4,2017Q1,12191,103332,38510,,16371,17502,45188,73557,,8271,17891,320193,A
1690,20170331,2017,2,INDL,C,D,STD,AAPL,37833100,USD,2017Q1,2017Q2,11367,101990,28573,,15157,10362,29973,84531,,8090,11029,320193,A
1690,20170630,2017,3,INDL,C,D,STD,AAPL,37833100,USD,2017Q2,2017Q3,10338,112875,31915,,18571,8594,25566,89864,,8105,8717,320193,A
1690,20170930,2017,4,INDL,C,D,STD,AAPL,37833100,USD,2017Q3,2017Q4,13936,128645,49049,,20289,11109,30164,97207,,8015,10714,320193,A
1690,20171231,2018,1,INDL,C,D,STD,AAPL,37833100,USD,2017Q4,2018Q1,11337,143810,62985,,27491,19374,51636,103922,,8038,20065,320193,A
1690,20180331,2018,2,INDL,C,D,STD,AAPL,37833100,USD,2018Q1,2018Q2,12043,130053,34311,,45059,11877,34976,101362,,,13822,320193,A
1690,20180630,2018,3,INDL,C,D,STD,AAPL,37833100,USD,2018Q2,2018Q3,12488,115761,38489,,31971,11472,30179,97128,,8523,11519,320193,A